zip,RRP,zip,lat,lon
37307,83.4,37307,35.172376,-84.63913000000001
44001,90.2,44001,41.386533,-82.23419
83801,94.0,83801,47.943718,-116.66605
76556,93.3,76556,30.702352,-96.85039
80106,99.6,80106,39.148692,-104.5635
65010,91.4,65010,38.784123,-92.24395
29002,91.8,29002,34.126535,-81.234811
36027,89.3,36027,31.876168,-85.17362
46124,88.8,46124,39.366507,-85.9864
43721,93.0,43721,39.946713,-82.25641999999999
78330,93.4,78330,27.782266999999997,-97.90134
97321,100.3,97321,44.635395,-123.0896
26710,88.1,26710,39.335771,-78.91724
75001,100.2,75001,32.961290000000005,-96.83751
30540,83.4,30540,34.688716,-84.46715999999999
60932,80.4,60932,40.465251,-87.80112
36502,91.3,36502,31.090528000000003,-87.49715
61201,90.2,61201,41.4903,-90.56956
45003,90.0,45003,39.575126000000004,-84.7905
35016,84.3,35016,34.323715,-86.49278000000001
61749,86.1,61749,40.091729,-89.10358000000001
32102,95.4,32102,29.174417,-81.56319
80001,106.0,80001,39.522014,-105.223945
50001,94.5,50001,41.363615,-93.41494
48727,95.9,48727,43.314176,-83.18115
36016,84.1,36016,31.843675,-85.43298
19901,94.4,19901,39.16426,-75.51163000000001
52237,91.5,52237,42.346132,-91.24208
54820,90.3,54820,46.588243,-91.55208
27701,95.2,27701,35.997192999999996,-78.89731
18014,97.1,18014,40.747741999999995,-75.40078000000001
54433,91.2,54433,45.186932,-90.81846
92004,89.3,92004,33.184028000000005,-116.26597
40051,85.3,40051,37.656290999999996,-85.58099
46507,90.2,46507,41.725061,-85.81792
14805,95.3,14805,42.366682,-76.72561999999999
79821,88.7,79821,31.977553000000004,-106.60468999999999
74630,90.4,74630,36.52791,-97.43304
16401,92.7,16401,41.883648,-80.37687
97324,97.8,97324,44.369264,-123.62348999999999
47523,89.4,47523,38.170876,-86.99889
99701,106.6,99701,64.83507,-147.72045
56514,92.6,56514,46.653912,-96.42891
87037,91.0,87037,36.17798,-107.80037
28301,89.9,28301,35.042389,-78.84124
64831,89.5,64831,36.658583,-94.44972
85931,98.0,85931,34.393887,-110.83591000000001
48501,90.4,48501,42.965926,-83.780835
29069,85.5,29069,34.183978,-80.07629
35582,84.2,35582,34.448328000000004,-88.12040999999999
53919,87.1,53919,43.734566,-88.78585
80503,101.9,80503,40.156034999999996,-105.17365
74743,84.6,74743,34.010943,-95.51651
46562,89.9,46562,41.213756,-85.70397
93204,96.3,93204,35.930766,-120.10056999999999
35121,83.3,35121,33.944897,-86.45813000000001
32008,94.3,32008,29.928690999999997,-82.91032
30501,88.5,30501,34.306643,-83.82352
17301,96.1,17301,39.891548,-76.98359
12801,96.4,12801,43.312104,-73.64825
27830,86.8,27830,35.552162,-77.9727
56517,93.2,56517,47.55171,-96.53492
68628,85.9,68628,41.212516,-97.83118
81501,94.0,81501,39.072831,-108.55
48809,93.5,48809,43.085313,-85.24478
97497,93.4,97497,42.676455,-123.324
59401,92.6,59401,47.509157,-111.27408
80020,99.2,80020,39.93404,-105.05453999999999
54101,91.1,54101,44.788897999999996,-88.04535
28127,89.8,28127,35.463024,-80.1649
27811,88.1,27811,35.584685,-77.513357
28782,89.6,28782,35.221428,-82.21712
39426,89.2,39426,30.641521,-89.65929
25401,100.5,25401,39.463781,-77.95767
70401,85.3,70401,30.517865999999998,-90.47254000000001
93202,94.1,93202,36.311439,-119.70823
17307,96.6,17307,39.930756,-77.2917
22801,88.6,22801,38.426786,-78.88153
06001,101.5,06001,41.789698,-72.86431
39401,82.1,39401,31.285508,-89.2799
28037,86.7,28037,35.501447999999996,-81.00412
29901,94.6,29901,32.424353,-80.565343
30427,90.3,30427,31.945767,-81.93594
34423,87.4,34423,28.867027,-82.572703
71901,85.2,71901,34.506487,-93.01941
70030,90.8,70030,29.810192999999998,-90.44769000000001
77617,101.6,77617,29.507243,-94.52028
25669,86.0,25669,37.938427000000004,-82.4254
35610,89.4,35610,34.944113,-87.24920999999999
83120,89.8,83120,43.001889,-111.0932
46030,92.8,46030,40.174490000000006,-86.01736
52201,95.7,52201,41.320371,-91.54755
13045,106.4,13045,42.591109,-76.19216999999999
48827,89.6,48827,42.507093,-84.6579
39041,90.1,39041,32.393359999999994,-90.47024
38301,82.1,38301,35.60758,-88.81959
32003,95.8,32003,30.16,-81.7
28445,92.7,28445,34.47722,-77.55978
53114,91.7,53114,42.60027,-88.74978
65001,82.2,65001,38.287405,-92.02351999999999
37601,88.0,37601,36.331006,-82.3386
15531,86.7,15531,40.173782,-79.0629
72401,81.8,72401,35.844795,-90.68443
64748,87.8,64748,37.371365000000004,-94.09057
96708,106.5,96708,20.899634,-156.27315
49001,91.2,49001,42.278890999999994,-85.55107
60401,96.3,60401,41.350484,-87.62408
64429,93.7,64429,39.743859,-94.23378000000001
98930,97.1,98930,46.260129,-119.90614
76501,91.6,76501,31.093215,-97.31085999999999
24201,85.1,24201,36.606582,-82.18087
12401,103.6,12401,41.932315,-74.02259000000001
37701,88.5,37701,35.784708,-83.97955999999999
46031,85.7,46031,40.211166,-86.02304000000001
54601,93.1,54601,43.797115999999995,-91.21141
