"GeoFips","GeoName","LineCode","Description","2016"
"20940","El Centro, CA (Metropolitan Statistical Area)","1","RPPs: All items",89.3
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)","1","RPPs: All items",85.3
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)","1","RPPs: All items",90.2
"21300","Elmira, NY (Metropolitan Statistical Area)","1","RPPs: All items",95.3
"21340","El Paso, TX (Metropolitan Statistical Area)","1","RPPs: All items",88.7
"21420","Enid, OK (Metropolitan Statistical Area)2/","1","RPPs: All items",90.4
"21500","Erie, PA (Metropolitan Statistical Area)","1","RPPs: All items",92.7
"21660","Eugene, OR (Metropolitan Statistical Area)","1","RPPs: All items",97.8
"21780","Evansville, IN-KY (Metropolitan Statistical Area)","1","RPPs: All items",89.4
"21820","Fairbanks, AK (Metropolitan Statistical Area)","1","RPPs: All items",106.6
"22020","Fargo, ND-MN (Metropolitan Statistical Area)","1","RPPs: All items",92.6
"22140","Farmington, NM (Metropolitan Statistical Area)","1","RPPs: All items",91.0
"22180","Fayetteville, NC (Metropolitan Statistical Area)","1","RPPs: All items",89.9
"22220","Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)","1","RPPs: All items",89.5
"22380","Flagstaff, AZ (Metropolitan Statistical Area)","1","RPPs: All items",98.0
"22420","Flint, MI (Metropolitan Statistical Area)","1","RPPs: All items",90.4
"22500","Florence, SC (Metropolitan Statistical Area)","1","RPPs: All items",85.5
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)","1","RPPs: All items",84.2
"22540","Fond du Lac, WI (Metropolitan Statistical Area)","1","RPPs: All items",87.1
"22660","Fort Collins, CO (Metropolitan Statistical Area)","1","RPPs: All items",101.9
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)","1","RPPs: All items",84.6
"23060","Fort Wayne, IN (Metropolitan Statistical Area)","1","RPPs: All items",89.9
"23420","Fresno, CA (Metropolitan Statistical Area)","1","RPPs: All items",96.3
"23460","Gadsden, AL (Metropolitan Statistical Area)","1","RPPs: All items",83.3
"23540","Gainesville, FL (Metropolitan Statistical Area)","1","RPPs: All items",94.3
"23580","Gainesville, GA (Metropolitan Statistical Area)","1","RPPs: All items",88.5
"23900","Gettysburg, PA (Metropolitan Statistical Area)","1","RPPs: All items",96.1
"24020","Glens Falls, NY (Metropolitan Statistical Area)","1","RPPs: All items",96.4
"24140","Goldsboro, NC (Metropolitan Statistical Area)","1","RPPs: All items",86.8
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)","1","RPPs: All items",93.2
"24260","Grand Island, NE (Metropolitan Statistical Area)","1","RPPs: All items",85.9
"24300","Grand Junction, CO (Metropolitan Statistical Area)","1","RPPs: All items",94.0
"24340","Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)","1","RPPs: All items",93.5
"24420","Grants Pass, OR (Metropolitan Statistical Area)","1","RPPs: All items",93.4
"24500","Great Falls, MT (Metropolitan Statistical Area)","1","RPPs: All items",92.6
"24540","Greeley, CO (Metropolitan Statistical Area)","1","RPPs: All items",99.2
"24580","Green Bay, WI (Metropolitan Statistical Area)","1","RPPs: All items",91.1
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)","1","RPPs: All items",89.8
"24780","Greenville, NC (Metropolitan Statistical Area)","1","RPPs: All items",88.1
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)","1","RPPs: All items",89.6
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)","1","RPPs: All items",89.2
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)","1","RPPs: All items",100.5
"25220","Hammond, LA (Metropolitan Statistical Area)","1","RPPs: All items",85.3
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)","1","RPPs: All items",94.1
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)","1","RPPs: All items",96.6
"25500","Harrisonburg, VA (Metropolitan Statistical Area)","1","RPPs: All items",88.6
"25540","Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)","1","RPPs: All items",101.5
"25620","Hattiesburg, MS (Metropolitan Statistical Area)","1","RPPs: All items",82.1
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)","1","RPPs: All items",86.7
"25940","Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)","1","RPPs: All items",94.6
"25980","Hinesville, GA (Metropolitan Statistical Area)","1","RPPs: All items",90.3
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)","1","RPPs: All items",87.4
"26300","Hot Springs, AR (Metropolitan Statistical Area)","1","RPPs: All items",85.2
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)","1","RPPs: All items",90.8
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","1","RPPs: All items",101.6
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)","1","RPPs: All items",86.0
"26620","Huntsville, AL (Metropolitan Statistical Area)","1","RPPs: All items",89.4
"26820","Idaho Falls, ID (Metropolitan Statistical Area)","1","RPPs: All items",89.8
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)","1","RPPs: All items",92.8
"26980","Iowa City, IA (Metropolitan Statistical Area)","1","RPPs: All items",95.7
"27060","Ithaca, NY (Metropolitan Statistical Area)","1","RPPs: All items",106.4
"27100","Jackson, MI (Metropolitan Statistical Area)","1","RPPs: All items",89.6
"27140","Jackson, MS (Metropolitan Statistical Area)","1","RPPs: All items",90.1
"27180","Jackson, TN (Metropolitan Statistical Area)","1","RPPs: All items",82.1
"27260","Jacksonville, FL (Metropolitan Statistical Area)","1","RPPs: All items",95.8
"27340","Jacksonville, NC (Metropolitan Statistical Area)","1","RPPs: All items",92.7
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)","1","RPPs: All items",91.7
"27620","Jefferson City, MO (Metropolitan Statistical Area)","1","RPPs: All items",82.2
"27740","Johnson City, TN (Metropolitan Statistical Area)","1","RPPs: All items",88.0
"27780","Johnstown, PA (Metropolitan Statistical Area)","1","RPPs: All items",86.7
"27860","Jonesboro, AR (Metropolitan Statistical Area)","1","RPPs: All items",81.8
"27900","Joplin, MO (Metropolitan Statistical Area)","1","RPPs: All items",87.8
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)","1","RPPs: All items",106.5
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)","1","RPPs: All items",91.2
"28100","Kankakee, IL (Metropolitan Statistical Area)","1","RPPs: All items",96.3
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)","1","RPPs: All items",93.7
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)","1","RPPs: All items",97.1
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)","1","RPPs: All items",91.6
"28700","Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)","1","RPPs: All items",85.1
"28740","Kingston, NY (Metropolitan Statistical Area)","1","RPPs: All items",103.6
"28940","Knoxville, TN (Metropolitan Statistical Area)","1","RPPs: All items",88.5
"29020","Kokomo, IN (Metropolitan Statistical Area)","1","RPPs: All items",85.7
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)","1","RPPs: All items",93.1
"29180","Lafayette, LA (Metropolitan Statistical Area)","1","RPPs: All items",88.7
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)","1","RPPs: All items",92.1
"29340","Lake Charles, LA (Metropolitan Statistical Area)","1","RPPs: All items",88.1
"29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)","1","RPPs: All items",91.8
"29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)","1","RPPs: All items",92.9
"29540","Lancaster, PA (Metropolitan Statistical Area)","1","RPPs: All items",99.4
"29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)","1","RPPs: All items",93.0
"29700","Laredo, TX (Metropolitan Statistical Area)","1","RPPs: All items",89.1
"29740","Las Cruces, NM (Metropolitan Statistical Area)","1","RPPs: All items",91.1
"29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)","1","RPPs: All items",97.8
"29940","Lawrence, KS (Metropolitan Statistical Area)","1","RPPs: All items",92.7
"30020","Lawton, OK (Metropolitan Statistical Area)","1","RPPs: All items",89.7
"30140","Lebanon, PA (Metropolitan Statistical Area)","1","RPPs: All items",95.4
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)","1","RPPs: All items",90.7
"30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)","1","RPPs: All items",94.3
"30460","Lexington-Fayette, KY (Metropolitan Statistical Area)","1","RPPs: All items",91.3
"30620","Lima, OH (Metropolitan Statistical Area)","1","RPPs: All items",87.1
"30700","Lincoln, NE (Metropolitan Statistical Area)","1","RPPs: All items",92.5
"30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)","1","RPPs: All items",90.5
"30860","Logan, UT-ID (Metropolitan Statistical Area)","1","RPPs: All items",91.1
"30980","Longview, TX (Metropolitan Statistical Area)","1","RPPs: All items",90.9
"31020","Longview, WA (Metropolitan Statistical Area)","1","RPPs: All items",94.3
"31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)","1","RPPs: All items",117.7
"31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)","1","RPPs: All items",91.0
"31180","Lubbock, TX (Metropolitan Statistical Area)","1","RPPs: All items",93.2
"31340","Lynchburg, VA (Metropolitan Statistical Area)","1","RPPs: All items",89.8
"31420","Macon-Bibb County, GA (Metropolitan Statistical Area)","1","RPPs: All items",86.2
"31460","Madera, CA (Metropolitan Statistical Area)","1","RPPs: All items",94.7
"31540","Madison, WI (Metropolitan Statistical Area)","1","RPPs: All items",97.7
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)","1","RPPs: All items",108.5
"31740","Manhattan, KS (Metropolitan Statistical Area)","1","RPPs: All items",92.3
"31860","Mankato-North Mankato, MN (Metropolitan Statistical Area)","1","RPPs: All items",90.2
"31900","Mansfield, OH (Metropolitan Statistical Area)","1","RPPs: All items",86.3
"32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)","1","RPPs: All items",84.5
"32780","Medford, OR (Metropolitan Statistical Area)","1","RPPs: All items",97.6
"32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)","1","RPPs: All items",91.0
"32900","Merced, CA (Metropolitan Statistical Area)","1","RPPs: All items",94.1
"33100","Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)","1","RPPs: All items",107.6
"33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)","1","RPPs: All items",85.7
"33220","Midland, MI (Metropolitan Statistical Area)","1","RPPs: All items",91.8
"33260","Midland, TX (Metropolitan Statistical Area)","1","RPPs: All items",100.8
"33340","Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)","1","RPPs: All items",95.6
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","1","RPPs: All items",102.3
"33540","Missoula, MT (Metropolitan Statistical Area)","1","RPPs: All items",95.8
"33660","Mobile, AL (Metropolitan Statistical Area)","1","RPPs: All items",87.4
"33700","Modesto, CA (Metropolitan Statistical Area)","1","RPPs: All items",97.8
"33740","Monroe, LA (Metropolitan Statistical Area)","1","RPPs: All items",84.7
"33780","Monroe, MI (Metropolitan Statistical Area)","1","RPPs: All items",94.0
"33860","Montgomery, AL (Metropolitan Statistical Area)","1","RPPs: All items",89.1
"34060","Morgantown, WV (Metropolitan Statistical Area)","1","RPPs: All items",91.5
"34100","Morristown, TN (Metropolitan Statistical Area)","1","RPPs: All items",79.5
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)","1","RPPs: All items",97.9
"34620","Muncie, IN (Metropolitan Statistical Area)","1","RPPs: All items",86.9
"34740","Muskegon, MI (Metropolitan Statistical Area)","1","RPPs: All items",87.5
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)","1","RPPs: All items",91.1
"34900","Napa, CA (Metropolitan Statistical Area)","1","RPPs: All items",121.9
"34940","Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)","1","RPPs: All items",100.9
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)","1","RPPs: All items",94.4
"35100","New Bern, NC (Metropolitan Statistical Area)","1","RPPs: All items",85.4
"35300","New Haven-Milford, CT (Metropolitan Statistical Area)","1","RPPs: All items",111.4
"35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)","1","RPPs: All items",95.2
"35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","1","RPPs: All items",122.0
