,zip,city,state,latitude,longitude,population,pop_45-49,pop_50-54,pop_55-59,pop_60-64,pop_65-69,pop_70-74,pop_75-inf
27230,59452,Hobson,MT,46.883052,-110.09673000000001,472.0,35.0,29.0,34.0,43.0,66.0,35.0,50.0
27231,59453,Judith Gap,MT,46.678858,-109.64119,309.0,10.0,14.0,33.0,26.0,34.0,15.0,14.0
27232,59454,Kevin,MT,48.744885,-111.97141,195.0,19.0,15.0,12.0,16.0,19.0,10.0,3.0
27233,59456,Ledger,MT,48.281911,-111.30771000000001,448.0,91.0,19.0,23.0,26.0,0.0,0.0,33.0
27234,59457,Lewistown,MT,47.054233,-109.48065,9037.0,469.0,470.0,845.0,593.0,613.0,445.0,1024.0
27235,59460,Loma,MT,48.008655,-110.47511999999999,189.0,7.0,23.0,21.0,25.0,33.0,20.0,23.0
27236,59461,Lothair,MT,48.609072,-111.731852,32.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0
27237,59462,Moccasin,MT,47.089166999999996,-109.91488000000001,125.0,0.0,51.0,19.0,13.0,13.0,0.0,6.0
27238,59463,Monarch,MT,47.05730300000001,-110.84279,124.0,0.0,27.0,10.0,0.0,31.0,34.0,17.0
27239,59464,Moore,MT,46.956343,-109.7023,478.0,27.0,53.0,55.0,44.0,34.0,46.0,27.0
27240,59465,Neihart,MT,46.926021,-110.71696000000001,25.0,0.0,2.0,1.0,1.0,7.0,1.0,4.0
27241,59466,Oilmont,MT,48.842195000000004,-111.59528999999999,63.0,0.0,13.0,0.0,33.0,3.0,0.0,0.0
27242,59467,Pendroy,MT,48.093269,-112.30254,123.0,19.0,5.0,9.0,5.0,14.0,2.0,13.0
27243,59468,Power,MT,47.69094000000001,-111.63998000000001,745.0,20.0,42.0,58.0,70.0,55.0,25.0,42.0
27244,59469,Raynesford,MT,47.261238,-110.725,174.0,7.0,26.0,11.0,22.0,5.0,4.0,9.0
27245,59471,Roy,MT,47.377169,-108.84397,269.0,10.0,56.0,18.0,22.0,20.0,32.0,21.0
27246,59472,Sand Coulee,MT,47.409591,-111.13517,695.0,51.0,52.0,68.0,53.0,87.0,42.0,16.0
27247,59473,Santa Rita,MT,48.65417,-113.12626200000001,0.0,0.0,0.0,0.0,,,,
