zip,cbsa,res_ratio,bus_ratio,oth_ratio,tot_ratio
05871,99999,0.997206704,1.000000000,1.000000000,0.997271487
05650,12740,1.000000000,1.000000000,1.000000000,1.000000000
05620,12740,1.000000000,1.000000000,1.000000000,1.000000000
05641,17200,0.030945013,0.000000000,0.002314815,0.025358111
01001,44140,1.000000000,1.000000000,1.000000000,1.000000000
01139,44140,1.000000000,1.000000000,1.000000000,1.000000000
01266,38340,1.000000000,1.000000000,1.000000000,1.000000000
01247,38340,0.997195858,1.000000000,1.000000000,0.997580045
01344,24640,0.995850622,1.000000000,0.933333333,0.994805195
01240,38340,1.000000000,1.000000000,1.000000000,1.000000000
01360,24640,0.997229917,0.974358974,1.000000000,0.996173469
01341,24640,0.972508591,1.000000000,0.450000000,0.924031008
02719,39300,1.000000000,1.000000000,1.000000000,1.000000000
01376,24640,0.986509275,1.000000000,0.944915254,0.984770115
02780,39300,1.000000000,1.000000000,1.000000000,1.000000000
02816,39300,1.000000000,1.000000000,1.000000000,1.000000000
02858,39300,1.000000000,1.000000000,1.000000000,1.000000000
02822,39300,1.000000000,1.000000000,1.000000000,1.000000000
02747,39300,1.000000000,1.000000000,1.000000000,1.000000000
02762,14460,0.994041504,1.000000000,1.000000000,0.994902443
02738,14460,1.000000000,1.000000000,1.000000000,1.000000000
02863,39300,1.000000000,1.000000000,1.000000000,1.000000000
02908,39300,1.000000000,1.000000000,1.000000000,1.000000000
02891,39300,1.000000000,1.000000000,1.000000000,1.000000000
06019,25540,1.000000000,1.000000000,1.000000000,1.000000000
06018,45860,1.000000000,1.000000000,1.000000000,1.000000000
06108,25540,1.000000000,1.000000000,1.000000000,1.000000000
06092,25540,1.000000000,1.000000000,1.000000000,1.000000000
06250,25540,0.990994371,1.000000000,0.829383886,0.980475106
06078,25540,1.000000000,1.000000000,1.000000000,1.000000000
06043,25540,1.000000000,1.000000000,1.000000000,1.000000000
06266,49340,1.000000000,1.000000000,1.000000000,1.000000000
06443,35300,1.000000000,1.000000000,1.000000000,1.000000000
06478,35300,1.000000000,1.000000000,1.000000000,1.000000000
06468,14860,1.000000000,1.000000000,1.000000000,1.000000000
06405,35300,1.000000000,1.000000000,1.000000000,1.000000000
06390,35620,0.000000000,1.000000000,1.000000000,1.000000000
06375,35980,1.000000000,1.000000000,1.000000000,1.000000000
06514,35300,1.000000000,1.000000000,1.000000000,1.000000000
06498,25540,1.000000000,1.000000000,1.000000000,1.000000000
06516,35300,1.000000000,1.000000000,1.000000000,1.000000000
06759,45860,1.000000000,1.000000000,1.000000000,1.000000000
06784,14860,0.969146238,1.000000000,1.000000000,0.971008737
06530,35300,1.000000000,1.000000000,1.000000000,1.000000000
06525,35300,1.000000000,1.000000000,1.000000000,1.000000000
06518,35300,1.000000000,1.000000000,1.000000000,1.000000000
06830,14860,1.000000000,1.000000000,1.000000000,1.000000000
07018,35620,1.000000000,1.000000000,1.000000000,1.000000000
06903,14860,1.000000000,1.000000000,1.000000000,1.000000000
06870,14860,1.000000000,1.000000000,1.000000000,1.000000000
