"","zip","city","state","latitude","longitude"
"4136","10542","Mahopac Falls","NY",41.372581,-73.760132
"4137","10543","Mamaroneck","NY",40.952892,-73.7346
"4138","10545","Maryknoll","NY",41.119008,-73.732996
"4139","10546","Millwood","NY",41.199502,-73.79269
"4140","10547","Mohegan Lake","NY",41.314676,-73.85118
"4141","10548","Montrose","NY",41.248359,-73.94147
"4142","10549","Mount Kisco","NY",41.204027,-73.73045
"4143","10550","Mount Vernon","NY",40.907607,-73.83709
"4144","10551","Mount Vernon","NY",41.119008,-73.732996
"4145","10552","Mount Vernon","NY",40.924195,-73.82614
"4146","10553","Mount Vernon","NY",40.909288,-73.8215
"4147","10557","Mount Vernon","NY",41.119008,-73.732996
"4148","10558","Mount Vernon","NY",41.119008,-73.732996
"4149","10559","Mount Vernon","NY",41.119008,-73.732996
"4150","10560","North Salem","NY",41.32797,-73.61306
"4151","10562","Ossining","NY",41.176837,-73.84741
"4152","10566","Peekskill","NY",41.288258,-73.91928
"4153","10567","Cortlandt Manor","NY",41.300813,-73.8908
"4154","10570","Pleasantville","NY",41.132367,-73.78922
"4155","10571","Pleasantville","NY",41.119008,-73.732996
"4156","10572","Pleasantville","NY",41.119008,-73.732996
"4157","10573","Port Chester","NY",41.010376,-73.67326
"4158","10576","Pound Ridge","NY",41.212954,-73.58409
"4159","10577","Purchase","NY",41.037203,-73.71588
"4160","10578","Purdys","NY",41.3252,-73.66906
"4161","10579","Putnam Valley","NY",41.390356,-73.8377
"4162","10580","Rye","NY",40.976579,-73.69002
"4163","10581","Rye","NY",41.119008,-73.732996
"4164","10583","Scarsdale","NY",40.98845,-73.79716
"4165","10586","Greenville","NY",40.997751,-73.820321
"4166","10587","Shenorock","NY",41.328737,-73.742268
"4167","10588","Shrub Oak","NY",41.330178,-73.82973
"4168","10589","Somers","NY",41.331587,-73.69234
"4169","10590","South Salem","NY",41.256639,-73.54076
"4170","10591","Tarrytown","NY",41.080196,-73.85721
"4171","10592","Tarrytown","NY",41.119008,-73.732996
"4172","10594","Thornwood","NY",41.120025,-73.77687
"4173","10595","Valhalla","NY",41.083848,-73.77785
"4174","10596","Verplanck","NY",41.254823,-73.958727
"4175","10597","Waccabuc","NY",41.289162,-73.58834
"4176","10598","Yorktown Heights","NY",41.296874,-73.78934
"4177","10601","White Plains","NY",41.032489,-73.76454
"4178","10602","White Plains","NY",41.119008,-73.732996
"4179","10603","White Plains","NY",41.053182,-73.77672
"4180","10604","West Harrison","NY",41.045387,-73.74451
"4181","10605","White Plains","NY",41.01002,-73.75158
"4182","10606","White Plains","NY",41.024107,-73.77808
"4183","10607","White Plains","NY",41.041191,-73.80953
"4184","10610","White Plains","NY",41.119008,-73.732996
"4185","10625","White Plains","NY",41.119008,-73.732996
"4186","10629","White Plains","NY",41.119008,-73.732996
"4187","10633","White Plains","NY",41.119008,-73.732996
"4188","10650","White Plains","NY",41.013696,-73.705975
"4189","10701","Yonkers","NY",40.943525,-73.88176
"4190","10702","Yonkers","NY",41.119008,-73.732996
"4191","10703","Yonkers","NY",40.956546,-73.8799
"4192","10704","Yonkers","NY",40.920273,-73.8612
"4193","10705","Yonkers","NY",40.917281,-73.89142
"4194","10706","Hastings On Hudson","NY",40.992084,-73.8729
"4195","10707","Tuckahoe","NY",40.958689,-73.82363
"4196","10708","Bronxville","NY",40.939049,-73.83099
"4197","10709","Eastchester","NY",40.953849,-73.81143
"4198","10710","Yonkers","NY",40.96555,-73.84506
"4199","10730","Woodbury","NY",41.358899,-74.122951
"4200","10801","New Rochelle","NY",40.915845,-73.78643
"4201","10802","New Rochelle","NY",40.948274,-73.795361
"4202","10803","Pelham","NY",40.902221,-73.80717
"4203","10804","Wykagyl","NY",40.946805,-73.78797
"4204","10805","New Rochelle","NY",40.897783,-73.77933
"4205","10901","Suffern","NY",41.125695,-74.12682
"4206","10910","Arden","NY",41.386195,-74.125718
"4207","10911","Bear Mountain","NY",41.160945,-74.060826
"4208","10912","Bellvale","NY",41.387822,-74.354699
"4209","10913","Blauvelt","NY",41.062779,-73.96016
"4210","10914","Blooming Grove","NY",41.464867,-74.255646
"4211","10915","Bullville","NY",41.555634,-74.328805
"4212","10916","Campbell Hall","NY",41.451074,-74.24346
"4213","10917","Central Valley","NY",41.322344,-74.12354
"4214","10918","Chester","NY",41.35648,-74.26072
"4215","10919","Circleville","NY",41.525781,-74.37907
"4216","10920","Congers","NY",41.149245,-73.94287
"4217","10921","Florida","NY",41.332519,-74.35931
"4218","10922","Fort Montgomery","NY",41.334557,-73.99175
"4219","10923","Garnerville","NY",41.204544,-74.00161
"4220","10924","Goshen","NY",41.38928,-74.3337
"4221","10925","Greenwood Lake","NY",41.211794,-74.29778
"4222","10926","Harriman","NY",41.299334,-74.14049
"4223","10927","Haverstraw","NY",41.196044,-73.96836
"4224","10928","Highland Falls","NY",41.360336,-73.97293
"4225","10930","Highland Mills","NY",41.35805,-74.12096
"4226","10931","Hillburn","NY",41.126395,-74.16718
"4227","10932","Howells","NY",41.485227,-74.484249
"4228","10933","Johnson","NY",41.365286,-74.510918
"4229","10940","Middletown","NY",41.449364,-74.43951
"4230","10941","Middletown","NY",41.478028,-74.35844
"4231","10943","Middletown","NY",41.387822,-74.354699
"4232","10946","Wallkill","NY",41.507236,-74.412119
"4233","10949","Monroe","NY",41.33,-74.19
"4234","10950","Monroe","NY",41.323547,-74.19531
"4235","10952","Monsey","NY",41.116162,-74.07556
