,zip,city,state,score
13763,30457,Soperton,GA,0.0316908553578897
13764,30458,Statesboro,GA,0.12457985540419429
13766,30460,Statesboro,GA,0.0
13767,30461,Statesboro,GA,0.10297631932843403
13768,30464,Stillmore,GA,0.0005302708818784727
13770,30467,Sylvania,GA,0.08282461157913604
13771,30470,Tarrytown,GA,0.001837056372109697
13772,30471,Twin City,GA,0.031297645384477504
13773,30473,Uvalda,GA,0.02145160691880265
13774,30474,Vidalia,GA,0.09546851903716316
13776,30477,Wadley,GA,0.010406541302204695
13778,30501,Gainesville,GA,0.1453517151072474
13781,30504,Gainesville,GA,0.13540324635538029
13783,30506,Gainesville,GA,0.3842076635597777
13784,30507,Gainesville,GA,0.1854608056177929
13785,30510,Alto,GA,0.05059944294676465
13786,30511,Baldwin,GA,0.019428551846208994
13787,30512,Blairsville,GA,0.12628269461373004
13788,30513,Blue Ridge,GA,0.0757754849256139
13791,30516,Bowersville,GA,0.013894530269761604
13792,30517,Braselton,GA,0.06395265506811257
13793,30518,Buford,GA,0.47615027504929197
13794,30519,Buford,GA,0.39579002480133835
13795,30520,Canon,GA,0.02361363552309255
13796,30521,Carnesville,GA,0.031090884038358125
13797,30522,Cherrylog,GA,0.006120529835095895
13798,30523,Clarkesville,GA,0.07796927940491127
13799,30525,Clayton,GA,0.042833198972336735
13800,30527,Clermont,GA,0.03012670442731672
13801,30528,Cleveland,GA,0.1820598118928123
13802,30529,Commerce,GA,0.07758516524914857
13803,30530,Commerce,GA,0.04182318103602796
13804,30531,Cornelia,GA,0.061024012590368645
13805,30533,Dahlonega,GA,0.11752319698870767
13806,30534,Dawsonville,GA,0.2152126119017745
13807,30535,Demorest,GA,0.05591571210790464
13808,30536,Ellijay,GA,0.06398015506363147
13809,30537,Dillard,GA,0.004457923462986197
13810,30538,Eastanollee,GA,0.021624253737228892
13812,30540,Ellijay,GA,0.11007441276214373
13813,30541,Epworth,GA,0.009251971784071219
13814,30542,Flowery Branch,GA,0.3085696099958176
13815,30543,Gillsville,GA,0.03519209545169385
13817,30545,Helen,GA,0.006022668148413694
13818,30546,Hiawassee,GA,0.03900087875963434
13819,30547,Homer,GA,0.020998977074744577
13820,30548,Hoschton,GA,0.08440944947272515
13821,30549,Jefferson,GA,0.20428067634880806
13822,30552,Lakemont,GA,0.010133526062018281
13823,30553,Lavonia,GA,0.04921622722560792
13824,30554,Lula,GA,0.055912866624843155
13825,30555,McCaysville,GA,0.013788780097986496
13826,30557,Martin,GA,0.03070403210402103
13827,30558,Maysville,GA,0.04536770096194061
13828,30559,Mineral Bluff,GA,0.03425996001971679
13829,30560,Morganton,GA,0.03067887963195316
13830,30562,Mountain City,GA,0.00690912471769134
13831,30563,Mount Airy,GA,0.0330588013622513
13832,30564,Murrayville,GA,0.02282897879697676
13833,30565,Nicholson,GA,0.03247974479297366
13834,30566,Oakwood,GA,0.04293188019059569
13835,30567,Pendergrass,GA,0.015468851362251304
13836,30568,Rabun Gap,GA,0.0087686635328912
13837,30571,Sautee Nacoochee,GA,0.030287743838501517
13838,30572,Suches,GA,0.005756662385732208
13839,30573,Tallulah Falls,GA,-0.0004453348628786492
13840,30575,Talmo,GA,0.004243532469976698
13841,30576,Tiger,GA,0.013282065229730536
13842,30577,Toccoa,GA,0.1321910952500448
13844,30581,Wiley,GA,0.0
13845,30582,Young Harris,GA,0.012228463456712668
13850,30601,Athens,GA,0.07313732257871781
13851,30602,Athens,GA,0.0
13854,30605,Athens,GA,0.09845086273525723
13855,30606,Athens,GA,0.19273551417816814
13856,30607,Athens,GA,0.06143247143454621
13858,30609,Athens,GA,0.0
13862,30619,Arnoldsville,GA,0.008932037390213301
13863,30620,Bethlehem,GA,0.09541034546214974
13864,30621,Bishop,GA,0.027666428481806768
13865,30622,Bogart,GA,0.07799677854454204
13866,30623,Bostwick,GA,0.0
13867,30624,Bowman,GA,0.021634117383641033
13868,30625,Buckhead,GA,0.01598381502061301
13869,30627,Carlton,GA,0.016228333877038897
13870,30628,Colbert,GA,0.0630113947302384
13871,30629,Comer,GA,0.019205420326223337
13872,30630,Crawford,GA,0.01481833626097867
13873,30631,Crawfordville,GA,0.00834699004301846
13874,30633,Danielsville,GA,0.06936690715181933
13875,30634,Dewy Rose,GA,0.015178989662125825
13876,30635,Elberton,GA,0.07784218811017506
13879,30641,Good Hope,GA,0.015011112490290971
13880,30642,Greensboro,GA,0.06749656390034058
13881,30643,Hartwell,GA,0.09019054055834377
13883,30646,Hull,GA,0.051181630865746536
13885,30648,Lexington,GA,0.016178398870765377
13886,30650,Madison,GA,0.10638201493696597
13888,30655,Monroe,GA,0.17459119300651252
13889,30656,Monroe,GA,0.12439695120989425
13890,30660,Rayle,GA,0.006521506691760768
13891,30662,Royston,GA,0.04911874945330704
13892,30663,Rutledge,GA,0.02105275429288403
13893,30664,Sharon,GA,0.0
13894,30665,Siloam,GA,0.00012134995070801216
13895,30666,Statham,GA,0.0903006093684651
13896,30667,Stephens,GA,0.008533493601003764
13897,30668,Tignall,GA,0.007144108113759933
13898,30669,Union Point,GA,0.014582449251658
13900,30673,Washington,GA,0.04492721045587619
13901,30677,Watkinsville,GA,0.14846080721156724
13902,30678,White Plains,GA,0.012528828687936906
13903,30680,Winder,GA,0.24951141943000538
13904,30683,Winterville,GA,0.03910407666248432
13905,30701,Calhoun,GA,0.2792549016072175
13907,30705,Chatsworth,GA,0.23706768114208038
13908,30707,Chickamauga,GA,0.11631125217332855
13909,30708,Cisco,GA,0.0
13910,30710,Cohutta,GA,0.06800583684949514
13911,30711,Crandall,GA,0.026739625739379814
13914,30720,Dalton,GA,0.18891833375156836
13915,30721,Dalton,GA,0.30121804605365354
13918,30725,Flintstone,GA,0.029664683186951073
13920,30728,La Fayette,GA,0.13929003104050905
13921,30730,Lyerly,GA,0.011155721554041943
13922,30731,Menlo,GA,0.00999006889675569
13924,30733,Plainville,GA,0.015511787986198244
13925,30734,Ranger,GA,0.03603739327239051
13926,30735,Resaca,GA,0.04381501917906434
13927,30736,Ringgold,GA,0.35828323921999167
13928,30738,Rising Fawn,GA,0.028580323212045174
13929,30739,Rock Spring,GA,0.05033156031546872
