,zip,city,state,score
31335,68437,Shubert,NE,0.0008196211985421523
31336,68438,Sprague,NE,0.0004635266176734183
31337,68439,Staplehurst,NE,0.002681159706040509
31338,68440,Steele City,NE,0.000585409571607815
31339,68441,Steinauer,NE,-0.0006987372647427848
31340,68442,Stella,NE,0.0006320260978670012
31341,68443,Sterling,NE,0.005637322817709268
31342,68444,Strang,NE,0.0006769494891557629
31343,68445,Swanton,NE,0.000801710031666368
31344,68446,Syracuse,NE,0.010515310987632195
31345,68447,Table Rock,NE,0.003885791718946049
31346,68448,Talmage,NE,0.0032392391468005015
31347,68450,Tecumseh,NE,0.009746354997908825
31348,68452,Ong,NE,0.0003671924478699887
31349,68453,Tobias,NE,0.0011835550457071165
31350,68454,Unadilla,NE,0.0039120292525542215
31351,68455,Union,NE,0.0019147698153791006
31352,68456,Utica,NE,0.007115993606978552
31353,68457,Verdon,NE,0.003565210228834319
31354,68458,Virginia,NE,0.0009723964868255963
31355,68460,Waco,NE,0.004879846089502302
31356,68461,Walton,NE,0.0
31357,68462,Waverly,NE,0.026164415367150622
31358,68463,Weeping Water,NE,0.010978372199318878
31359,68464,Western,NE,0.0026715988767401565
31360,68465,Wilber,NE,0.022818604265997494
31361,68466,Wymore,NE,0.011562999677361534
31362,68467,York,NE,0.06489042710163112
31364,68502,Lincoln,NE,0.13820288186353588
31365,68503,Lincoln,NE,0.04256915860070503
31366,68504,Lincoln,NE,0.06123803302563183
31367,68505,Lincoln,NE,0.11418049874529486
31368,68506,Lincoln,NE,0.1557432401266655
31369,68507,Lincoln,NE,0.10498403865686802
31370,68508,Lincoln,NE,0.009797690147577224
31372,68510,Lincoln,NE,0.14363439370854988
31373,68512,Lincoln,NE,0.07963119387435025
31374,68514,Lincoln,NE,-0.0023466624843161855
31375,68516,Lincoln,NE,0.23502319195495014
31376,68517,Lincoln,NE,0.0
31377,68520,Lincoln,NE,-0.0016524317380653647
31378,68521,Lincoln,NE,0.22660729274959673
31379,68522,Lincoln,NE,0.08576727602019477
31380,68523,Lincoln,NE,0.004788198713927228
31381,68524,Lincoln,NE,0.03730112889854813
31382,68526,Lincoln,NE,0.011917458325864853
31383,68527,Lincoln,NE,-0.004853050763278961
31384,68528,Lincoln,NE,0.04730977885821832
31386,68531,Lincoln,NE,1.1100705024795379e-05
31387,68532,Lincoln,NE,0.006121938855529666
31393,68601,Columbus,NE,0.20681499250761787
31395,68620,Albion,NE,0.016485566111011533
