"GeoFips","GeoName","LineCode","Description","2016"
"12620","Bangor, ME (Metropolitan Statistical Area)","1","RPPs: All items",95.7
"12620","Bangor, ME (Metropolitan Statistical Area)","2","  RPPs: Goods",98.0
"12620","Bangor, ME (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",85.9
"12620","Bangor, ME (Metropolitan Statistical Area)","4","  RPPs: Services: Other",100.6
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","1","RPPs: All items",103.9
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","2","  RPPs: Goods",98.0
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",121.1
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",100.6
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","1","RPPs: All items",93.0
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","2","  RPPs: Goods",96.6
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",86.2
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"12980","Battle Creek, MI (Metropolitan Statistical Area)","1","RPPs: All items",90.6
"12980","Battle Creek, MI (Metropolitan Statistical Area)","2","  RPPs: Goods",97.2
"12980","Battle Creek, MI (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",74.5
"12980","Battle Creek, MI (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.6
"13020","Bay City, MI (Metropolitan Statistical Area)","1","RPPs: All items",86.9
"13020","Bay City, MI (Metropolitan Statistical Area)","2","  RPPs: Goods",97.2
"13020","Bay City, MI (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",61.7
"13020","Bay City, MI (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.6
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","1","RPPs: All items",89.8
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","2","  RPPs: Goods",97.5
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",71.1
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"13220","Beckley, WV (Metropolitan Statistical Area)","1","RPPs: All items",78.8
"13220","Beckley, WV (Metropolitan Statistical Area)","2","  RPPs: Goods",91.3
"13220","Beckley, WV (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",54.1
"13220","Beckley, WV (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.2
"13380","Bellingham, WA (Metropolitan Statistical Area)","1","RPPs: All items",99.4
"13380","Bellingham, WA (Metropolitan Statistical Area)","2","  RPPs: Goods",95.4
"13380","Bellingham, WA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",103.7
"13380","Bellingham, WA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",102.0
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)","1","RPPs: All items",99.0
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)","2","  RPPs: Goods",99.4
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",105.2
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.0
"13740","Billings, MT (Metropolitan Statistical Area)","1","RPPs: All items",97.5
"13740","Billings, MT (Metropolitan Statistical Area)","2","  RPPs: Goods",95.6
"13740","Billings, MT (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",95.0
"13740","Billings, MT (Metropolitan Statistical Area)","4","  RPPs: Services: Other",101.7
"13780","Binghamton, NY (Metropolitan Statistical Area)","1","RPPs: All items",95.9
"13780","Binghamton, NY (Metropolitan Statistical Area)","2","  RPPs: Goods",98.0
"13780","Binghamton, NY (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",85.4
"13780","Binghamton, NY (Metropolitan Statistical Area)","4","  RPPs: Services: Other",100.6
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","1","RPPs: All items",88.8
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","2","  RPPs: Goods",97.5
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",68.8
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"13900","Bismarck, ND (Metropolitan Statistical Area)","1","RPPs: All items",93.9
"13900","Bismarck, ND (Metropolitan Statistical Area)","2","  RPPs: Goods",97.0
"13900","Bismarck, ND (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",87.7
"13900","Bismarck, ND (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)","1","RPPs: All items",88.5
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)","2","  RPPs: Goods",91.2
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",79.1
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.3
